Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,1,2024-03-21T15:18:45+00:00,6.5419890880585,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,5,"In this section, you will be presented with a series of word pairs. Please study each word pair! Your memory will be tested!",Initial_Instruct,Instruct1,6406,,,-1,-1,,,,,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,2,2024-03-21T15:19:00+00:00,15.352663040161,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test. You will make these ratings using a 0 to 100 Scale.",,Instruct13,15263,,,-1,-1,,,,,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,3,2024-03-21T15:19:11+00:00,11.004231929779,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"For example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,10914,,,-1,-1,,,,,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,4,2024-03-21T15:19:22+00:00,10.909919023514,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,-,10,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! After making your rating, press Enter to advance to the next pair.",,Instruct15,10822,,,-1,-1,,,,,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,5,2024-03-21T15:19:25+00:00,2.7862360477448,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,,,,,,0,Instruct,User,-,"You will now begin the study. Press Enter when you are ready to begin.",,Instruct16,2698,,,-1,-1,,,,,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,6,2024-03-21T15:19:35+00:00,9.6739230155945,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,TREES,GREEN,BUFFER1,Buffer,1,4,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,9586,,,7805,7969,,,,60,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,7,2024-03-21T15:19:40+00:00,5.6235728263855,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PEANUT,BUTTER,BUFFER1,Buffer,3,5,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5537,,,3314,3674,,,,100,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,8,2024-03-21T15:19:45+00:00,4.7084150314331,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SPACE,JAM,BUFFER1,Buffer,5,6,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4622,,,2966,3090,,,,20,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,9,2024-03-21T15:19:50+00:00,5.1704680919647,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,PITCHER,CATCHER,BUFFER1,Buffer,2,3,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,5081,,,3397,3510,,,,30,1
W10172829OA,eo7gxqc3fj,"Mediated JOLs",1,10,2024-03-21T15:19:55+00:00,4.483402967453,2,versionA_stim.csv,JOLVersion.csv,JOL,JOL1,SCARE,FRIGHT,BUFFER1,Buffer,4,2,JOL,User,-,"How likely are you to correctly recall the second item in the pair?|Type your response on a scale from 0-100 and then press Enter.",Study/JOL,BUFFER,4397,,,2388,2512,,,,20,1
